price,bedrooms,bathrooms,latitude,longitude,property_type,tenure,listing_update_reason,summary,url
365000,2,1.0,51.492595,-3.219682,Detached,FREEHOLD,new,"A Rare Opportunity to Acquire a Unique Detached Coach House in the Heart of Llandaff. Tucked away just off Ely Road, a stones throw from the charming heart of Llandaff Village, this beautifully presented detached coach house offers a rare blend of privacy, character, and convenience. Set...",https://www.rightmove.co.uk/properties/164163605#/?channel=RES_BUY
210000,3,1.0,51.48417,-3.23675,Detached,FREEHOLD,price_reduced,"£210,000, Three Bedroom Detached House with Large Enclosed Garden in Mill Road, Ely, Cardiff, CF5 4AH",https://www.rightmove.co.uk/properties/163346717#/?channel=RES_BUY
325000,3,1.0,51.53969,-3.1873,Link Detached House,FREEHOLD,price_reduced,Tathams are proud to bring to market this 3 bedroom link-detached property situated in a quiet off the main road spot. ,https://www.rightmove.co.uk/properties/163540733#/?channel=RES_BUY
265000,2,1.0,51.47982,-3.220795,Terraced,FREEHOLD,new,"No Chain. A bright and spacious two double bedroom mid house with located on this popular development on The Mill in Canton. Tastefully decorated throughout with lovely rear garden and an allocated parking space, this property will certainly be popular with first time buyers and investors! ",https://www.rightmove.co.uk/properties/164163116#/?channel=RES_BUY
275000,2,1.0,51.594566,-3.200156,Semi-Detached,FREEHOLD,new,"Stunning Two-Bedroom Semi-Detached Family Home with Attic Room in the Heart of Bedwas, Caerphilly
Located in a sought-after position in the heart of Bedwas, this beautifully presented two-bedroom semi-detached family home—with a versatile attic room—boasts b...",https://www.rightmove.co.uk/properties/164161907#/?channel=RES_BUY
260000,4,1.0,51.443062,-3.169042,Terraced,FREEHOLD,new,"A Victorian terraced property located close to Penarth town centre and within easy reach of Albert Road Primary School, Belle Vue Park and Penarth Marina. The property has a ground floor that comprises to reception rooms, kitchen, bathroom and utility room while there are four bedrooms above. The...",https://www.rightmove.co.uk/properties/164159297#/?channel=RES_BUY
245000,2,1.0,51.49405,-3.160444,Apartment,LEASEHOLD,price_reduced,"Well-Presented Modern Ground Floor Flat in Prime Location This beautifully maintained two-bedroom ground floor flat is ideally situated just a short stroll from the lively Albany and Wellfield Roads, renowned for their vibrant mix of shops, cafés, and restaurants. The property i...",https://www.rightmove.co.uk/properties/162671540#/?channel=RES_BUY
380000,6,2.0,51.472851,-3.168444,Semi-Detached,FREEHOLD,price_reduced,Put all your eggs in one basket and buy this Fully Let and ready to Buy Excellent Investment with high income Situated in a central location with easy access to Cardiff Bay and Cardiff City Centre. Modern Semi Detached that has been converted to accommodate 6 letting bedrooms communal living room...,https://www.rightmove.co.uk/properties/152592866#/?channel=RES_BUY
200000,3,1.0,51.51758,-3.12466,Terraced,FREEHOLD,new,"NO CHAIN! A THREE BEDROOM MID TERRACED home, set in the popular location of LLANRUMNEY within walking distance of local amenities and easy access to local schools, bus routes and shops. Cardiff City centre is easily accessible and the A48/M4 access corridor is just a short drive away.",https://www.rightmove.co.uk/properties/164156333#/?channel=RES_BUY
305000,2,1.0,51.540813,-3.167968,Flat,LEASEHOLD,price_reduced,"£2,500 Land Transaction Tax Paid By Seller. This stunning first floor apartment is located in a highly sought after exclusive development just off Church Road in Lisvane. Within a short distance of amenities of Lisvane, Llanishen and public transport links on the door step this is a great locatio...",https://www.rightmove.co.uk/properties/158738441#/?channel=RES_BUY
340000,3,2.0,51.569448,-3.242359,Detached,FREEHOLD,new,**BEAUTIFULLY PRESENTED THROUGHOUT**DESIRABLE CASTLE VIEW ESTATE**MODERN & STYLISH INTERIOR**MULTIPLE RECEPTION ROOMS**MODERN KITCHEN & UTILITY**CONSERVATORY**THREE BEDROOMS**TWO BATHROOMS & WC**LARGE SOUTH FACING GARDEN**DRIVEWAY**LKP are delighted to bring this stunning three-bedroo...,https://www.rightmove.co.uk/properties/164056640#/?channel=RES_BUY
325000,2,1.0,51.4845,-3.206355,Terraced,FREEHOLD,new,"*NO CHAIN - TWO DOUBLE BEDROOM, MID-TERRACED HOUSE IN CANTON* MGY are delighted to bring to market this beautifully presented, two double bedroom, mid-terraced house situated on the much favoured Glamorgan Street in Canton. The property is within close proximity to Thompson Park and Pontcanna Fie...",https://www.rightmove.co.uk/properties/164150612#/?channel=RES_BUY
425000,5,2.0,51.41704,-3.26614,Detached,FREEHOLD,new,"SHOW HOME CONDITION - CUL-DE-SAC LOCATION - 5 BEDROOMS & STUDY - 3 RECEPTION ROOMS - LARGER THAN AVERAGE REAR GARDEN. Situated in a quiet street, close to local amenities; parks, shops, popular school catchment, public transport routes, easy access to link roads leading to M4 corridor.",https://www.rightmove.co.uk/properties/164150585#/?channel=RES_BUY
300000,3,1.0,51.567292,-3.32347,Detached Bungalow,FREEHOLD,new,"**THREE BEDROOM DETACHED BUNGALOW** GENEROUS GARDEN PLOT plus TWO GARAGES**  Dylan Davies is delighted to offer for sale this charming bungalow located in Church Village.  Other highlights include, two driveways, bay front lounge & kitchen/dining room & great potential to ext...",https://www.rightmove.co.uk/properties/164148746#/?channel=RES_BUY
250000,2,1.0,51.501618,-3.157719,Apartment,LEASEHOLD,new,"A beautifully presented modern purpose built first floor apartment position at the top of Waterloo Road, a short walk to Waterloo Gardens coffee shop as well as Wellfield Road and Albany Road shops and arcades and a short drive to Sainsbury’s (Colchester Avenue) and Newport Road Retail Park...",https://www.rightmove.co.uk/properties/164143550#/?channel=RES_BUY
425000,4,2.0,51.58323,-3.051449,Detached,FREEHOLD,new,"A distinguished Taylor Wimpey Fakenham showcasing enhanced spatial configuration through thoughtful garage conversion, creating exceptional dual-reception living within Jubilee Park's coveted southern quarter",https://www.rightmove.co.uk/properties/164143523#/?channel=RES_BUY
300000,4,2.0,51.556778,-3.028488,Semi-Detached,,new,Welcome to your next potential dream home! This charming 4 bedroom semi-detached house is sure to capture your heart with its modern amenities and convenient location.,https://www.rightmove.co.uk/properties/164143355#/?channel=RES_BUY
290000,3,1.0,51.58174,-3.24387,Semi-Detached,FREEHOLD,new,"Spacious three-bedroom home with additional loft room, offered with no onward chain. Situated in a great location close to amenities and with excellent road links, this property offers great potential for buyers looking to make it their own. Ideal for families or investors.",https://www.rightmove.co.uk/properties/164140196#/?channel=RES_BUY
220000,2,2.0,51.44344,-3.18356,Flat,LEASEHOLD,price_reduced,OPEN PLAN LIVING SPACE WTH DOORS TO BALCONY - ALLOCATED PARKING - BATHROOM & ENSUITE SHOWER ROOM A two bedroom apartment located close to Penarth town centre and offering views over Cardiff Bay and beyond.,https://www.rightmove.co.uk/properties/161713508#/?channel=RES_BUY
485000,4,2.0,51.51653,-3.20561,Semi-Detached,FREEHOLD,new,"Tathams are thrilled to bring to market this impressive four-bedroom property, located in the desirable area of Rhiwbina, Cardiff.",https://www.rightmove.co.uk/properties/164139038#/?channel=RES_BUY
295000,3,1.0,51.571674,-3.316837,Detached,FREEHOLD,new,"**SUNNY SOUTH-FACING GARDEN**RARE TO THE MARKET** Dylan Davies is delighted to present to the market this lovely 3-bedroom detached home situated in a quiet cul-de-sac. Highlights include open plan living/dining room, log burner, fitted wardrobes and detached single garage. **A PERFECT FAMILY ...",https://www.rightmove.co.uk/properties/164139149#/?channel=RES_BUY
210000,2,,51.55309,-3.339,Semi-Detached,FREEHOLD,price_reduced,"Three Estate Agents Talbot Green are delighted to offer to the market this well-presented two-bedroom semi-detached property, complete with a spacious conservatory, located in the sought-after area of Llantwit Fardre.",https://www.rightmove.co.uk/properties/162318059#/?channel=RES_BUY
360000,3,1.0,51.479564,-3.205889,Terraced,FREEHOLD,new,"Presenting an immaculate terraced house, currently listed for sale on the popular Westmoreland Street. This refined property exudes a pleasant blend of traditional charm and modern convenience, ideally suited for first-time buyers. Comprising three double bedrooms, this home offers amp...",https://www.rightmove.co.uk/properties/164136665#/?channel=RES_BUY
375000,5,2.0,51.421192,-3.266235,Semi-Detached Bungalow,FREEHOLD,new,"Nestled in the tranquil cul-de-sac of Nelson Road, Barry, this beautifully presented dormer semi-detached bungalow offers an exceptional living experience for families seeking both space and comfort. With five well-proportioned bedrooms, this versatile home is perfect for accommodating a growing ...",https://www.rightmove.co.uk/properties/164133245#/?channel=RES_BUY
230000,3,1.0,51.52999,-3.1153,Semi-Detached,FREEHOLD,price_reduced,"***GUIDE PRICE £230,000-£240,000***We are pleased to bring to the market this three bedroom semi detached property with a garage, lovely rear garden and modern decor throughout. Tucked in a quiet cul de sac and perfect located for shops, schools and bus stops. An ideal first time buy.",https://www.rightmove.co.uk/properties/163098860#/?channel=RES_BUY
425000,4,1.0,51.478809,-3.189443,House,FREEHOLD,new,"Located on Neville Place and overlooking Clare Gardens is this delightful end of terrace family home offers a perfect blend of space and comfort. With four generously sized bedrooms, this property is ideal for families seeking room to grow or those who enjoy hosting guests. The house boasts thre...",https://www.rightmove.co.uk/properties/164131388#/?channel=RES_BUY
210000,3,1.0,51.4071,-3.264264,Terraced,FREEHOLD,new,"Charming 3-Bedroom Terraced Home Near Town Centre – Ideal for First-Time Buyers or Investors Botham Williams are delighted to present this well-maintained three-bedroom terraced property, ideally positioned within walking distance of Barry town centre and the train station. With generous livin...",https://www.rightmove.co.uk/properties/164130377#/?channel=RES_BUY
265000,3,1.0,51.485632,-3.204234,Apartment,,new,"Introducing this stunning duplex flat for sale, ideally located within the sought-after urban area of Thompsons Park. The property boasts a unique blend of historical features and contemporary amenities, creating an inviting atmosphere that is perfect for first-time buyers, investors, or families...",https://www.rightmove.co.uk/properties/164129306#/?channel=RES_BUY
