price,bedrooms,bathrooms,address,property_type,url
220000,2,2.0,"Rawden Place, Riverside, Cardiff",Ground Flat,https://www.rightmove.co.uk/properties/162073106#/?channel=RES_BUY
325000,6,2.0,"Sapphire Street, Adamsdown",Terraced,https://www.rightmove.co.uk/properties/159775664#/?channel=RES_BUY
450000,4,2.0,"Heol Y Cwm, Morganstown",Detached,https://www.rightmove.co.uk/properties/164120270#/?channel=RES_BUY
230000,3,1.0,"Lloyd Place, St. Mellons, Cardiff",End of Terrace,https://www.rightmove.co.uk/properties/159034835#/?channel=RES_BUY
265000,4,1.0,"Dynea Road, Upper Boat, Pontypridd, CF37 5DN",Semi-Detached,https://www.rightmove.co.uk/properties/162785120#/?channel=RES_BUY
425000,5,2.0,"Sycamore Crescent, Barry",Detached,https://www.rightmove.co.uk/properties/162402020#/?channel=RES_BUY
270000,2,2.0,"Ty Gwyn House, Ty-Gwyn Road, Penylan, Cardiff",Apartment,https://www.rightmove.co.uk/properties/160350155#/?channel=RES_BUY
265000,2,1.0,"Huntington Drive, Pontprennau, Cardiff",Semi-Detached,https://www.rightmove.co.uk/properties/164118197#/?channel=RES_BUY
200000,2,1.0,"Richmond Road, Cardiff, ",Apartment,https://www.rightmove.co.uk/properties/164118125#/?channel=RES_BUY
270000,2,1.0,"Bristol Terrace, Main Road, Cardiff, CF15",Terraced,https://www.rightmove.co.uk/properties/164117042#/?channel=RES_BUY
400000,3,2.0,"Clive Crescent, Penarth",Flat,https://www.rightmove.co.uk/properties/158674256#/?channel=RES_BUY
230000,2,1.0,"Spires Walk, BARRY",End of Terrace,https://www.rightmove.co.uk/properties/164111684#/?channel=RES_BUY
365000,4,1.0,"75 Tennyson Road, Penarth",End of Terrace,https://www.rightmove.co.uk/properties/164111381#/?channel=RES_BUY
280000,2,1.0,"Marconi Avenue, Penarth",Apartment,https://www.rightmove.co.uk/properties/164111342#/?channel=RES_BUY
250000,3,2.0,"6 Arles Road, Cardiff, CF5 5AP",Semi-Detached,https://www.rightmove.co.uk/properties/164109683#/?channel=RES_BUY
234000,2,1.0,"Dungarvan Drive, Pontprennau, Cardiff",End of Terrace,https://www.rightmove.co.uk/properties/163537370#/?channel=RES_BUY
260000,3,,"Yr-Allt, Llantrisant, Pontyclun CF72 8EF",Terraced,https://www.rightmove.co.uk/properties/164106791#/?channel=RES_BUY
269500,2,2.0,"Breakwater House, Cardiff",Apartment,https://www.rightmove.co.uk/properties/162843230#/?channel=RES_BUY
200000,4,1.0,"Pant Glas, Pentwyn, Cardiff, CF23",Semi-Detached,https://www.rightmove.co.uk/properties/163806200#/?channel=RES_BUY
230000,2,1.0,"Woodlawn Way, Thornhill, Cardiff",Terraced,https://www.rightmove.co.uk/properties/163693781#/?channel=RES_BUY
240000,2,1.0,"Burges Place, Cardiff",End of Terrace,https://www.rightmove.co.uk/properties/164102462#/?channel=RES_BUY
300000,4,1.0,"Poplar Road, Pontypridd",End of Terrace,https://www.rightmove.co.uk/properties/87078624#/?channel=RES_BUY
450000,4,2.0,"Spitfire Road, Rogerstone, Newport, Gwent",Detached,https://www.rightmove.co.uk/properties/162699506#/?channel=RES_BUY
244950,3,1.0,"Cwrt Y Garth, Beddau, Pontypridd, CF38 2JH",End of Terrace,https://www.rightmove.co.uk/properties/159603638#/?channel=RES_BUY
349950,3,1.0,"Heath Park Drive, Heath, Cardiff, CF14",Semi-Detached,https://www.rightmove.co.uk/properties/162028616#/?channel=RES_BUY
285000,2,2.0,"Salop Street, Penarth",Terraced,https://www.rightmove.co.uk/properties/164098781#/?channel=RES_BUY
300000,3,1.0,"Denison Way, Cardiff",Semi-Detached,https://www.rightmove.co.uk/properties/164181128#/?channel=RES_BUY
280000,3,2.0,"Glyn Eiddew, CARDIFF",Semi-Detached,https://www.rightmove.co.uk/properties/156281834#/?channel=RES_BUY
200000,2,2.0,"Newport Road, Cardiff",Apartment,https://www.rightmove.co.uk/properties/163653365#/?channel=RES_BUY
229950,3,1.0,"The Hawthorns, Cardiff",Terraced,https://www.rightmove.co.uk/properties/164096354#/?channel=RES_BUY
450000,4,3.0,"Grosmont Way, Newport, NP10",Detached,https://www.rightmove.co.uk/properties/158223134#/?channel=RES_BUY
400000,4,2.0,"Heol Faenor, Beddau, Pontypridd",Detached,https://www.rightmove.co.uk/properties/164088617#/?channel=RES_BUY
200000,2,2.0,"Brynteg Green, Beddau, Pontypridd",Semi-Detached,https://www.rightmove.co.uk/properties/164087807#/?channel=RES_BUY
460000,4,2.0,"Pentrebane Drive, Cardiff",Detached,https://www.rightmove.co.uk/properties/164087126#/?channel=RES_BUY
425000,3,2.0,"Fisher Hill Way, Radyr, Cardiff",Detached,https://www.rightmove.co.uk/properties/157690508#/?channel=RES_BUY
200000,3,1.0,"Splott Road, Splott",Terraced,https://www.rightmove.co.uk/properties/160043333#/?channel=RES_BUY
210000,3,1.0,"Waunhir Cottages, Efail Isaf, Pontypridd",Character Property,https://www.rightmove.co.uk/properties/164084087#/?channel=RES_BUY
